Student Number;school;year;Class;sex;Birth Date;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;P1;P2;P3
1;GP;2017;DMAT/MAT/MAT1;F;20/12/2002;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;4;14;15;4
2;GP;2017;DMAT/MAT/MAT1;F;29/04/2003;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;2;3;1;15
3;GP;2017;DMAT/MAT/MAT1;F;29/11/2005;U;LE3;T;1;1;at_home;other;other;mother;1;2;0;yes;no;no;no;yes;yes;yes;no;4;3;2;2;3;3;6;9;20;6
4;GP;2017;DMAT/MAT/MAT1;F;20/03/2005;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;3;2;2;1;1;5;0;19;18;4
5;GP;2017;DMAT/MAT/MAT1;F;19/07/2004;U;GT3;T;3;3;other;other;home;father;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;2;1;2;5;0;15;13;17
6;GP;2017;DMAT/MAT/MAT1;M;05/10/2004;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;2;1;2;5;6;3;18;7
7;GP;2017;DMAT/MAT/MAT1;M;18/05/2004;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;5;5;15
8;GP;2017;DMAT/MAT/MAT1;F;13/12/2003;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1;2;13;6;17
9;GP;2017;DMAT/MAT/MAT1;M;15/10/2005;U;LE3;A;3;2;services;other;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;2;2;1;1;1;0;14;16;4
10;GP;2017;DMAT/MAT/MAT1;M;30/06/2005;U;GT3;T;3;4;other;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;5;1;1;1;5;0;3;19;15
11;GP;2017;DMAT/MAT/MAT1;F;14/01/2005;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;3;3;3;1;2;2;2;14;8;1
12;GP;2017;DMAT/MAT/MAT1;F;09/11/2005;U;GT3;T;2;1;services;other;reputation;father;3;3;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4;0;18;8;17
13;GP;2017;DMAT/MAT/MAT1;M;13/01/2005;U;LE3;T;4;4;health;services;course;father;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;3;5;0;19;11;17
